# TIER C - REFERENCE ONLY. NOT ELIGIBLE FOR CLV, EVER.
# These are sportsbook numbers with no capture timestamp: there is no way
# to know whether a given spread_line was the open, the close, or a
# midweek number, so any 'closing-line value' computed from them would be
# a number that looks fine and means nothing.
# NO MODEL-FITTING CODE MAY READ THIS FILE. It exists so that games.csv
# can be honestly market-blind, and for market-structure diagnostics only.
game_id,season,week,away_moneyline,home_moneyline,spread_line,away_spread_odds,home_spread_odds,total_line,under_odds,over_odds
2010_01_MIN_NO,2010,1,197,-220,4.5,-105,-103,48.5,-104,-106
2010_01_ATL_PIT,2010,1,-112,102,-1,-106,-102,38.5,-108,-102
2010_01_CAR_NYG,2010,1,214,-240,5.5,-107,-101,40.5,-107,-103
2010_01_CIN_NE,2010,1,205,-230,5,-104,-104,44.5,-113,102
2010_01_CLE_TB,2010,1,122,-135,2.5,102,-110,37,-106,-104
2010_01_DEN_JAX,2010,1,166,-185,3,109,-118,41.5,-110,100
2010_01_DET_CHI,2010,1,248,-280,6.5,103,-111,44.5,-105,-105
2010_01_IND_HOU,2010,1,-117,106,-1,-110,102,47.5,-102,-108
2010_01_MIA_BUF,2010,1,-155,140,-3,-106,-102,39.5,-110,100
2010_01_OAK_TEN,2010,1,235,-265,6.5,-102,-106,39.5,-105,-105
2010_01_ARI_STL,2010,1,-163,147,-3,-104,-104,39.5,-101,-109
2010_01_GB_PHI,2010,1,-138,125,-3,108,-117,47.5,-113,102
2010_01_SF_SEA,2010,1,-185,166,-3,-118,109,37,-105,-105
2010_01_DAL_WAS,2010,1,-185,166,-3.5,100,-108,39.5,100,-110
2010_01_BAL_NYJ,2010,1,108,-119,1,104,-113,36.5,-102,-108
2010_01_SD_KC,2010,1,-200,180,-4,102,-110,45.5,-101,-109
2010_02_ARI_ATL,2010,2,248,-280,7,-113,104,43,-115,104
2010_02_BAL_CIN,2010,2,-145,131,-2.5,-115,106,39.5,105,-116
2010_02_BUF_GB,2010,2,548,-670,12.5,-102,-106,43,-102,-108
2010_02_CHI_DAL,2010,2,277,-315,7,-102,-106,41,-107,-103
2010_02_KC_CLE,2010,2,158,-175,3,111,-120,38,102,-113
2010_02_MIA_MIN,2010,2,199,-222,5.5,-111,103,40.5,-115,104
2010_02_PHI_DET,2010,2,-276,244,-6.5,101,-109,41,-108,-102
2010_02_PIT_TEN,2010,2,231,-260,6,-104,-104,36.5,-115,104
2010_02_TB_CAR,2010,2,188,-210,4,-101,-107,38,100,-110
2010_02_SEA_DEN,2010,2,158,-175,3.5,-113,104,41,-104,-106
2010_02_STL_OAK,2010,2,162,-180,3,116,-126,37.5,100,-110
2010_02_HOU_WAS,2010,2,-143,129,-2.5,-114,105,43,-110,100
2010_02_JAX_SD,2010,2,264,-300,7,-112,104,45.5,-103,-107
2010_02_NE_NYJ,2010,2,-155,140,-3,102,-110,39.5,-108,-102
