date,game_pk,first_pitch_utc,p_sim_home,p_market_home,p_blend_home,proj_home_runs,proj_away_runs,mean_total,mkt_total,park_factor,starter_stab_diff,starter_min_ip,bullpen_diff,woba_flag,wx_present,best_price_delta,engine_version,home_won
2026-07-22,822784,2026-07-22T23:07:00Z,,0.5,0.4563,3.7,4.1,7.7,8.0,1.0,,49.1,,0,0,,,0
2026-07-22,822873,2026-07-23T00:05:00Z,,0.5,0.539,4.1,3.6,7.7,8.5,0.98,,42.0,,0,0,,,0
2026-07-22,823110,2026-07-22T19:40:00Z,,0.5861,0.6506,4.2,2.7,7.0,8.0,0.92,,96.2,,0,0,,,0
2026-07-22,823438,2026-07-22T22:40:00Z,,0.4733,0.3474,3.8,5.9,9.8,9.5,1.01,,76.2,,0,0,,,0
2026-07-22,823518,2026-07-22T17:05:00Z,,0.6027,0.6032,5.9,4.4,10.3,9.0,1.03,,55.0,,0,0,,,0
2026-07-22,823519,2026-07-22T23:05:00Z,,0.6027,0.629,5.6,3.9,9.6,9.0,1.03,,61.2,,0,0,,,1
2026-07-22,823761,2026-07-22T18:10:00Z,,0.589,0.646,4.2,2.7,6.9,7.5,0.99,,33.1,,0,0,,,1
2026-07-22,824004,2026-07-22T20:07:00Z,,0.5439,0.4686,4.2,4.6,8.8,8.5,1.0,,22.1,,0,0,,,0
2026-07-22,824083,2026-07-22T18:10:00Z,,0.4537,0.4673,4.4,4.8,9.2,8.5,1.03,,104.0,,0,0,,,1
2026-07-22,824166,2026-07-23T00:10:00Z,,0.5179,0.5105,4.0,3.9,7.9,8.0,0.97,,92.0,,0,0,,,1
2026-07-22,824327,2026-07-22T19:10:00Z,,0.4394,0.4687,6.5,6.9,13.4,11.5,1.24,,14.1,,0,0,,,0
2026-07-22,824408,2026-07-22T22:40:00Z,,0.537,0.529,4.5,4.2,8.6,8.0,0.97,,77.0,,0,0,,,0
2026-07-22,824650,2026-07-23T00:10:00Z,,0.5267,0.4538,4.0,4.5,8.5,8.0,1.02,,100.2,,0,0,,,0
2026-07-22,824735,2026-07-22T17:35:00Z,,0.5568,0.6701,4.7,2.9,7.6,8.5,1.06,,26.0,,0,0,,,1
2026-07-22,824896,2026-07-22T23:15:00Z,,0.5188,0.5994,4.3,3.2,7.4,8.5,1.0,,81.1,,0,0,,,1
2026-07-22,825055,2026-07-22T19:40:00Z,,0.5427,0.5119,5.3,5.2,10.5,8.5,1.05,,52.1,,0,0,,,1
2026-07-23,822785,2026-07-23T19:07:00Z,,0.4944,0.3889,3.9,5.4,9.3,8.5,1.0,,23.2,,0,0,,,1
2026-07-23,823042,2026-07-23T21:15:00Z,,0.5255,0.6046,4.5,3.4,7.9,7.5,0.97,,59.0,,0,0,,,0
2026-07-23,824247,2026-07-23T22:40:00Z,,0.6588,0.6028,3.2,2.4,5.6,8.0,0.97,,14.0,,0,0,,,1
2026-07-23,824406,2026-07-23T17:10:00Z,,0.569,0.5181,4.3,4.0,8.3,7.5,0.97,,107.2,,0,0,,,0
2026-07-23,824893,2026-07-23T16:15:00Z,,0.6923,0.7869,5.8,2.4,8.2,8.0,1.0,,35.0,,0,0,,,1
2026-07-24,822707,2026-07-24T22:45:00Z,,0.466,0.2647,4.2,8.3,12.4,9.5,0.99,,11.1,,0,0,,,0
2026-07-24,822872,2026-07-25T00:05:00Z,,0.4856,0.335,2.6,4.2,6.8,7.5,0.98,,63.1,,0,0,,,1
2026-07-24,822952,2026-07-24T23:10:00Z,,0.5463,0.5688,3.8,3.1,6.9,7.5,1.0,,91.0,,0,0,,,1
2026-07-24,823031,2026-07-25T00:15:00Z,,0.5817,0.5981,5.5,4.2,9.8,8.0,0.97,,72.0,,0,0,,,0
2026-07-24,823196,2026-07-25T02:15:00Z,,0.589,0.6848,6.5,3.9,10.4,8.5,0.94,,35.0,,0,0,,,1
2026-07-24,823352,2026-07-24T22:40:00Z,,0.5144,0.5026,5.0,5.0,10.0,8.0,0.97,,40.0,,0,0,,,0
2026-07-24,823434,2026-07-24T22:45:00Z,,0.5537,0.3513,2.7,4.2,6.9,7.5,1.01,,115.1,,0,0,,,0
2026-07-24,823601,2026-07-24T23:10:00Z,,0.4482,0.3466,3.6,5.4,9.0,9.0,0.96,,79.2,,0,0,,,0
2026-07-24,823680,2026-07-25T00:10:00Z,,0.5639,0.6249,7.9,5.6,13.5,9.5,0.99,,59.2,,0,0,,,0
2026-07-24,823759,2026-07-24T20:10:00Z,,0.7034,0.7473,6.7,3.2,9.9,8.5,0.99,,76.0,,0,0,,,0
2026-07-24,824248,2026-07-24T22:40:00Z,,0.6984,0.6238,4.1,2.8,6.9,7.5,0.97,,22.1,,0,0,,,1
